notes,year,year_code,state,state_code,ten-year_age_groups,ten-year_age_groups_code,sex,sex_code,deaths,population,crude_rate
,1999.0,1999.0,Alabama,1.0,15-24 years,15-24,Female,F,13.0,316324.0,
,1999.0,1999.0,Alabama,1.0,15-24 years,15-24,Male,M,76.0,317647.0,23.9
,1999.0,1999.0,Alabama,1.0,25-34 years,25-34,Female,F,14.0,308250.0,
,1999.0,1999.0,Alabama,1.0,25-34 years,25-34,Male,M,69.0,300073.0,23.0
,1999.0,1999.0,Alabama,1.0,35-44 years,35-44,Female,F,24.0,351301.0,6.8
,1999.0,1999.0,Alabama,1.0,35-44 years,35-44,Male,M,96.0,335631.0,28.6
,1999.0,1999.0,Alabama,1.0,45-54 years,45-54,Female,F,17.0,301328.0,
,1999.0,1999.0,Alabama,1.0,45-54 years,45-54,Male,M,73.0,284323.0,25.7
,1999.0,1999.0,Alabama,1.0,55-64 years,55-64,Female,F,11.0,216486.0,
,1999.0,1999.0,Alabama,1.0,55-64 years,55-64,Male,M,56.0,194056.0,28.9
,1999.0,1999.0,Alabama,1.0,65-74 years,65-74,Male,M,49.0,139117.0,35.2
,1999.0,1999.0,Alabama,1.0,75-84 years,75-84,Male,M,34.0,72852.0,46.7
,1999.0,1999.0,Alaska,2.0,15-24 years,15-24,Male,M,17.0,47131.0,
,1999.0,1999.0,Alaska,2.0,25-34 years,25-34,Male,M,15.0,46704.0,
,1999.0,1999.0,Alaska,2.0,35-44 years,35-44,Male,M,18.0,60064.0,
,1999.0,1999.0,Alaska,2.0,45-54 years,45-54,Male,M,14.0,48831.0,
,1999.0,1999.0,Arizona,4.0,15-24 years,15-24,Female,F,10.0,339691.0,
,1999.0,1999.0,Arizona,4.0,15-24 years,15-24,Male,M,68.0,371056.0,18.3
,1999.0,1999.0,Arizona,4.0,25-34 years,25-34,Female,F,20.0,354781.0,5.6
,1999.0,1999.0,Arizona,4.0,25-34 years,25-34,Male,M,123.0,383757.0,32.1
,1999.0,1999.0,Arizona,4.0,35-44 years,35-44,Female,F,42.0,376826.0,11.1
,1999.0,1999.0,Arizona,4.0,35-44 years,35-44,Male,M,110.0,384610.0,28.6
,1999.0,1999.0,Arizona,4.0,45-54 years,45-54,Female,F,39.0,308541.0,12.6
,1999.0,1999.0,Arizona,4.0,45-54 years,45-54,Male,M,95.0,296226.0,32.1
,1999.0,1999.0,Arizona,4.0,55-64 years,55-64,Female,F,21.0,224305.0,9.4
,1999.0,1999.0,Arizona,4.0,55-64 years,55-64,Male,M,68.0,203442.0,33.4
,1999.0,1999.0,Arizona,4.0,65-74 years,65-74,Male,M,45.0,170664.0,26.4
,1999.0,1999.0,Arizona,4.0,75-84 years,75-84,Female,F,13.0,131213.0,
,1999.0,1999.0,Arizona,4.0,75-84 years,75-84,Male,M,71.0,99885.0,71.1
,1999.0,1999.0,Arizona,4.0,85+ years,85+,Male,M,17.0,22155.0,
,1999.0,1999.0,Arkansas,5.0,15-24 years,15-24,Male,M,53.0,193430.0,27.4
,1999.0,1999.0,Arkansas,5.0,25-34 years,25-34,Female,F,15.0,175246.0,
,1999.0,1999.0,Arkansas,5.0,25-34 years,25-34,Male,M,44.0,176049.0,25.0
