Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,1999,1999,Alabama,1,15-24 years,15-24,Female,F,13,316324,Unreliable
,1999,1999,Alabama,1,15-24 years,15-24,Male,M,76,317647,23.9
,1999,1999,Alabama,1,25-34 years,25-34,Female,F,14,308250,Unreliable
,1999,1999,Alabama,1,25-34 years,25-34,Male,M,69,300073,23
,1999,1999,Alabama,1,35-44 years,35-44,Female,F,24,351301,6.8
,1999,1999,Alabama,1,35-44 years,35-44,Male,M,96,335631,28.6
,1999,1999,Alabama,1,45-54 years,45-54,Female,F,17,301328,Unreliable
,1999,1999,Alabama,1,45-54 years,45-54,Male,M,73,284323,25.7
,1999,1999,Alabama,1,55-64 years,55-64,Female,F,11,216486,Unreliable
,1999,1999,Alabama,1,55-64 years,55-64,Male,M,56,194056,28.9
,1999,1999,Alabama,1,65-74 years,65-74,Male,M,49,139117,35.2
,1999,1999,Alabama,1,75-84 years,75-84,Male,M,34,72852,46.7
,1999,1999,Alaska,2,15-24 years,15-24,Male,M,17,47131,Unreliable
,1999,1999,Alaska,2,25-34 years,25-34,Male,M,15,46704,Unreliable
,1999,1999,Alaska,2,35-44 years,35-44,Male,M,18,60064,Unreliable
,1999,1999,Alaska,2,45-54 years,45-54,Male,M,14,48831,Unreliable
,1999,1999,Arizona,4,15-24 years,15-24,Female,F,10,339691,Unreliable
,1999,1999,Arizona,4,15-24 years,15-24,Male,M,68,371056,18.3
,1999,1999,Arizona,4,25-34 years,25-34,Female,F,20,354781,5.6
,1999,1999,Arizona,4,25-34 years,25-34,Male,M,123,383757,32.1
,1999,1999,Arizona,4,35-44 years,35-44,Female,F,42,376826,11.1
,1999,1999,Arizona,4,35-44 years,35-44,Male,M,110,384610,28.6
,1999,1999,Arizona,4,45-54 years,45-54,Female,F,39,308541,12.6
,1999,1999,Arizona,4,45-54 years,45-54,Male,M,95,296226,32.1
,1999,1999,Arizona,4,55-64 years,55-64,Female,F,21,224305,9.4
,1999,1999,Arizona,4,55-64 years,55-64,Male,M,68,203442,33.4
,1999,1999,Arizona,4,65-74 years,65-74,Male,M,45,170664,26.4
,1999,1999,Arizona,4,75-84 years,75-84,Female,F,13,131213,Unreliable
,1999,1999,Arizona,4,75-84 years,75-84,Male,M,71,99885,71.1
,1999,1999,Arizona,4,85+ years,85+,Male,M,17,22155,Unreliable
,1999,1999,Arkansas,5,15-24 years,15-24,Male,M,53,193430,27.4
,1999,1999,Arkansas,5,25-34 years,25-34,Female,F,15,175246,Unreliable
,1999,1999,Arkansas,5,25-34 years,25-34,Male,M,44,176049,25
,1999,1999,Arkansas,5,35-44 years,35-44,Female,F,18,199609,Unreliable
,1999,1999,Arkansas,5,35-44 years,35-44,Male,M,52,195273,26.6
,1999,1999,Arkansas,5,45-54 years,45-54,Male,M,36,166308,21.6
,1999,1999,Arkansas,5,55-64 years,55-64,Male,M,26,119881,21.7
,1999,1999,Arkansas,5,65-74 years,65-74,Male,M,22,89393,24.6
,1999,1999,Arkansas,5,75-84 years,75-84,Male,M,29,50539,57.4
,1999,1999,Arkansas,5,85+ years,85+,Male,M,12,13298,Unreliable
,1999,1999,California,6,5-14 years,14-May,Male,M,17,2687888,Unreliable
,1999,1999,California,6,15-24 years,15-24,Female,F,47,2250560,2.1
,1999,1999,California,6,15-24 years,15-24,Male,M,279,2455726,11.4
,1999,1999,California,6,25-34 years,25-34,Female,F,111,2559586,4.3
,1999,1999,California,6,25-34 years,25-34,Male,M,404,2718957,14.9
,1999,1999,California,6,35-44 years,35-44,Female,F,157,2701239,5.8
,1999,1999,California,6,35-44 years,35-44,Male,M,490,2760947,17.7
,1999,1999,California,6,45-54 years,45-54,Female,F,149,2124931,7
,1999,1999,California,6,45-54 years,45-54,Male,M,445,2064379,21.6
,1999,1999,California,6,55-64 years,55-64,Female,F,65,1319908,4.9
,1999,1999,California,6,55-64 years,55-64,Male,M,255,1223139,20.8
,1999,1999,California,6,65-74 years,65-74,Female,F,50,1032910,4.8
,1999,1999,California,6,65-74 years,65-74,Male,M,233,855094,27.2
,1999,1999,California,6,75-84 years,75-84,Female,F,40,742128,5.4
,1999,1999,California,6,75-84 years,75-84,Male,M,215,517511,41.5
,1999,1999,California,6,85+ years,85+,Female,F,24,283620,8.5
,1999,1999,California,6,85+ years,85+,Male,M,84,129644,64.8
,1999,1999,Colorado,8,15-24 years,15-24,Female,F,16,283612,Unreliable
,1999,1999,Colorado,8,15-24 years,15-24,Male,M,71,313172,22.7
,1999,1999,Colorado,8,25-34 years,25-34,Female,F,16,312607,Unreliable
,1999,1999,Colorado,8,25-34 years,25-34,Male,M,86,342250,25.1
,1999,1999,Colorado,8,35-44 years,35-44,Female,F,29,365690,7.9
,1999,1999,Colorado,8,35-44 years,35-44,Male,M,106,373273,28.4
,1999,1999,Colorado,8,45-54 years,45-54,Female,F,26,295671,8.8
,1999,1999,Colorado,8,45-54 years,45-54,Male,M,82,297388,27.6
,1999,1999,Colorado,8,55-64 years,55-64,Female,F,14,167246,Unreliable
,1999,1999,Colorado,8,55-64 years,55-64,Male,M,37,161800,22.9
,1999,1999,Colorado,8,65-74 years,65-74,Male,M,33,103695,31.8
,1999,1999,Colorado,8,75-84 years,75-84,Female,F,10,82732,Unreliable
,1999,1999,Colorado,8,75-84 years,75-84,Male,M,27,56371,47.9
,1999,1999,Colorado,8,85+ years,85+,Male,M,10,13720,Unreliable
,1999,1999,Connecticut,9,15-24 years,15-24,Male,M,27,203760,13.3
,1999,1999,Connecticut,9,25-34 years,25-34,Male,M,33,227998,14.5
,1999,1999,Connecticut,9,35-44 years,35-44,Female,F,19,294958,Unreliable
,1999,1999,Connecticut,9,35-44 years,35-44,Male,M,38,284561,13.4
,1999,1999,Connecticut,9,45-54 years,45-54,Female,F,12,240846,Unreliable
,1999,1999,Connecticut,9,45-54 years,45-54,Male,M,43,228474,18.8
,1999,1999,Connecticut,9,55-64 years,55-64,Male,M,34,145109,23.4
,1999,1999,Connecticut,9,65-74 years,65-74,Male,M,20,104282,19.2
,1999,1999,Connecticut,9,75-84 years,75-84,Male,M,18,67390,Unreliable
,1999,1999,Delaware,10,25-34 years,25-34,Male,M,14,54940,Unreliable
,1999,1999,Delaware,10,35-44 years,35-44,Male,M,23,62330,36.9
,1999,1999,Delaware,10,45-54 years,45-54,Male,M,13,48750,Unreliable
,1999,1999,District of Columbia,11,35-44 years,35-44,Male,M,11,44096,Unreliable
,1999,1999,Florida,12,15-24 years,15-24,Female,F,24,924921,2.6
,1999,1999,Florida,12,15-24 years,15-24,Male,M,140,974807,14.4
,1999,1999,Florida,12,25-34 years,25-34,Female,F,59,1036079,5.7
,1999,1999,Florida,12,25-34 years,25-34,Male,M,232,1056626,22
,1999,1999,Florida,12,35-44 years,35-44,Female,F,114,1233241,9.2
,1999,1999,Florida,12,35-44 years,35-44,Male,M,334,1223234,27.3
,1999,1999,Florida,12,45-54 years,45-54,Female,F,86,1025162,8.4
,1999,1999,Florida,12,45-54 years,45-54,Male,M,287,966780,29.7
,1999,1999,Florida,12,55-64 years,55-64,Female,F,59,800611,7.4
,1999,1999,Florida,12,55-64 years,55-64,Male,M,140,708839,19.8
,1999,1999,Florida,12,65-74 years,65-74,Female,F,55,790418,7
,1999,1999,Florida,12,65-74 years,65-74,Male,M,188,672447,28
,1999,1999,Florida,12,75-84 years,75-84,Female,F,36,581362,6.2
,1999,1999,Florida,12,75-84 years,75-84,Male,M,179,430968,41.5
,1999,1999,Florida,12,85+ years,85+,Female,F,15,214270,Unreliable
,1999,1999,Florida,12,85+ years,85+,Male,M,71,108641,65.4
,1999,1999,Georgia,13,15-24 years,15-24,Female,F,21,562460,3.7
,1999,1999,Georgia,13,15-24 years,15-24,Male,M,99,601682,16.5
,1999,1999,Georgia,13,25-34 years,25-34,Female,F,30,642732,4.7
,1999,1999,Georgia,13,25-34 years,25-34,Male,M,157,651618,24.1
,1999,1999,Georgia,13,35-44 years,35-44,Female,F,42,675072,6.2
,1999,1999,Georgia,13,35-44 years,35-44,Male,M,132,660376,20
,1999,1999,Georgia,13,45-54 years,45-54,Female,F,32,537890,5.9
,1999,1999,Georgia,13,45-54 years,45-54,Male,M,104,508674,20.4
,1999,1999,Georgia,13,55-64 years,55-64,Female,F,15,334480,Unreliable
,1999,1999,Georgia,13,55-64 years,55-64,Male,M,72,308354,23.3
,1999,1999,Georgia,13,65-74 years,65-74,Female,F,14,241213,Unreliable
,1999,1999,Georgia,13,65-74 years,65-74,Male,M,66,190063,34.7
,1999,1999,Georgia,13,75-84 years,75-84,Female,F,14,165821,Unreliable
,1999,1999,Georgia,13,75-84 years,75-84,Male,M,56,95324,58.7
,1999,1999,Hawaii,15,15-24 years,15-24,Male,M,12,87734,Unreliable
,1999,1999,Hawaii,15,25-34 years,25-34,Male,M,29,90014,32.2
,1999,1999,Hawaii,15,35-44 years,35-44,Male,M,30,97666,30.7
,1999,1999,Hawaii,15,45-54 years,45-54,Male,M,16,83710,Unreliable
,1999,1999,Idaho,16,15-24 years,15-24,Male,M,24,104568,23
,1999,1999,Idaho,16,25-34 years,25-34,Male,M,22,84607,26
,1999,1999,Idaho,16,35-44 years,35-44,Female,F,12,96110,Unreliable
,1999,1999,Idaho,16,35-44 years,35-44,Male,M,31,97386,31.8
,1999,1999,Idaho,16,45-54 years,45-54,Male,M,17,82912,Unreliable
,1999,1999,Idaho,16,55-64 years,55-64,Male,M,11,52239,Unreliable
,1999,1999,Idaho,16,65-74 years,65-74,Male,M,12,35800,Unreliable
,1999,1999,Idaho,16,75-84 years,75-84,Male,M,19,21536,Unreliable
,1999,1999,Illinois,17,15-24 years,15-24,Female,F,22,839351,2.6
,1999,1999,Illinois,17,15-24 years,15-24,Male,M,119,888143,13.4
,1999,1999,Illinois,17,25-34 years,25-34,Female,F,27,906416,3
